outer_sum_original,outer_sum_radiusPenalty,det_rate,time_vector
1.5,1.5,0,1.31
1,1,0,1.21
1.5,1.5,0,1.35
1.5,1.5,0,1.35
2,2,0,3.27
1.5,1.5,0,1.25
1.5,1.5,0,1.27
2,2,0,1.25
2,2,0,1.53
1,1,0,1.03
1.5,1.5,0,1.3
1.5,1.5,0,1.38
1.5,1.5,0,2.1
1,1,0,2.58
1.5,1.5,0,1.5
1.5,1.5,0,0.89
1,1,0,2.34
1.5,1.5,0,1.13
1.5,1.5,0,2.49
1.5,1.5,0,3.11
1,1,0,1.79
1,1,0,2.02
1.5,1.5,0,1.58
1.5,1.5,0,1.53
1,1,0,1.94
1.5,1.5,0,2
1.5,1.5,0,1.27
1.5,1.5,0,1.06
2,2,0,1.92
1,1,0,1.42
1.5,1.5,0,2.92
1.5,1.5,0,0.77
1,1,0,1.17
1.5,1.5,0,1.39
1.5,1.5,0,1.14
1.5,1.5,0,1.03
1.5,1.5,0,1.45
1.5,1.5,0,0.8
1.5,1.5,0,1.32
1.5,1.5,0,1.39
1,1,0,1.15
1,1,0,1.36
1.5,1.5,0,1.24
1.5,1.5,0,1.18
1,1,0,1.94
1,1,0,3.39
1,1,0,1.25
1.5,1.5,0,0.87
1.5,1.5,0,3.5
1.5,1.5,0,1.58
1,1,0,1.45
1,1,0,1.47
1.5,1.5,0,1.14
1.5,1.5,0,1.38
1.5,1.5,0,1.04
1,1,0,0.85
1,1,0,1
1.5,1.5,0,0.93
1,1,0,1.05
1,1,0,1.14
1.5,1.5,0,1.64
1.5,1.5,0,2.39
1,1,0,1.67
1.5,1.5,0,2.03
1.5,1.5,0,1.96
1.5,1.5,0,1.55
1,1,0,2.23
1.5,1.5,0,1.18
1,1,0,0.94
1,1,0,2.71
1.5,1.5,0,1.81
1,1,0,1.13
2,2,0,1.83
2,2,0,1.37
1,1,0.5,1.46
1.5,1.5,0,1.7
3,3,0,1.74
1,1,0,1.22
2,2,0,0.98
1.5,1.5,0,1.49
1,1,0,1.61
1.5,1.5,0,1.78
1.5,1.5,0,1.24
1,1,0,1.31
1,1,0,1.32
1,1,0,1.9
1.5,1.5,0,1.71
1.5,1.5,0,1.76
1,1,0,1.2
1,1,0,0.74
2,2,0,2.53
1.5,1.5,0,2.36
1.5,1.5,0,0.92
2.5,2.5,0,1.64
1,1,0,0.94
1,1,0,1.28
1.5,1.5,0,1.17
1.5,1.5,0,1.78
1.5,1.5,0,1.42
1.5,1.5,0,1.01
